Key,Turkish
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Yeni bina modelleri oyuna eklendi!
tooltip.construction.place,Nesneyi yerleştir
tooltip.construction.rotate,Değişkeni Değiştir
tooltip.construction.cancel,Geri
pause_menu.back_to_main_menu,Ana Menü
pause_menu.load,Yükle
pause_menu.save,Kaydet
pause_menu.save_and_load,Yükle ve Kaydet
pause_menu.resume_game,Oyuna Devam Et
options_menu.audio.gui_volume,ARAYÜZ SES DÜZEYİ
options_menu.audio.sounds_volume,ANA SES DÜZEYİ
options_menu.audio.music_volume,MÜZİK SES DÜZEYİ
options_menu.audio,Ses
options_menu.graphics.screen_format_err2,Çözünürlük listesini görüntülemek için ekran formatını seç.
options_menu.graphics.screen_format_err,Özel çözünürlük seçildi.
options_menu.graphics.screen_resolution,ÇÖZÜNÜRLÜK
options_menu.graphics.gui_scale,ARAYÜZ ÖLÇEĞİ
options_menu.graphics.screen_format,GÖRÜNTÜ ORANI
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Dikey Çözünürlük
options_menu.graphics.fps_unlimited,Sınırsız FPS
options_menu.graphics.borderless_mode,Kenarlıksız Mod
options_menu.graphics.fullscreen_mode,Tam Ekran Modu
options_menu.graphics.windowed_mode,Pencereli Mod
options_menu.graphics.screen_mode,EKRAN MODU
options_menu.graphics.global_map_blur,Tilt-shift Bulanıklaştırma
options_menu.graphics,Görüntü
options_menu.game.secs,saniye
options_menu.game.hint_lock_delay,İPUCU SÜRESİ
options_menu.game.encyclopedia_events,OYUN İÇİ EĞİTİCİ
options_menu.game.language,DİL
options_menu.game,Oyun
options_menu.title,Oyun Ayarları
options_menu.cancel,İptal Et
options_menu.ok,Tamam
options_menu.accept,Kabul Et
statistics_menu.title,İstatistikler
statistics_menu.crafting,Zanaatkârlık
statistics_menu.consumable,Tüketilebilirler
main_menu.new_game.family.random,Rastgele
main_menu.new_game.family.talents,Yetenekler:
main_menu.new_game.family.unlimited,Sınırsız
main_menu.new_game.family.banner.back_color,Arka Plan Rengi
main_menu.new_game.family.banner.pattern_color,Örüntü Rengi
main_menu.new_game.province.game_params.beginning_scenario,Başlangıç Senaryoları
crisis.no_crisis,Kriz yok
crisis.horde,Habis Sürü
scenario.no_scenario,Senaryo yok
scenario.nectar_slaves,Nektarın Çocukları
scenario.path_of_sword,Kılıcın Yolu
scenario.deserters,Firariler
scenario.juice_of_life,Can Suyu
scenario.to_the_touch,Bir Dokunuş
scenario.path_of_hammer,Çekicin Yolu
scenario.captured_wife,Mahkûm
scenario.surrounded_by_enemies,Düşmanlarla Sarılı
scenario.peacepul_dolina,Barış Vadisi
scenario.everything_is_lost,Büyük Kayıp
scenario.slave_owner,Hapishane Sahipleri
main_menu.new_game.province.game_params.crisis,Kriz
main_menu.new_game.province.game_params.crisis.no_crisis,Kriz yok
main_menu.new_game.province.game_params.crisis.unholy_horde,Habis Sürü
main_menu.new_game.province.game_params.crisis.pandemic,Salgın
main_menu.new_game.province.game_params.crisis.religious_war,Dinî Savaş
main_menu.new_game.province.game_params.crisis.long_winter,Uzun Kış
main_menu.new_game.province.game_params.mutators,Dönüştürücüler
mutator.wave_fanatism,Fanatizm Dalgası
mutator.after_war,Savaş Sonrası
mutator.decline_of_trade,Ticari Gerileme
mutator.power_of_crowd,Birlikten Kuvvet Doğar
mutator.fast_metabolism,Hızlı Metabolizma
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Ayarla
main_menu.new_game.family_editor.erethic,Kâfir
main_menu.new_game.province.game_params.adv_neighbours_settings,Gelişmiş komşu ayarları
