Key,Hungarian
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Új épületmodellek kerültek a játékba!
tooltip.construction.place,Objektum lehelyezése
tooltip.construction.rotate,Variáns váltása
tooltip.construction.cancel,Vissza
pause_menu.back_to_main_menu,Főmenü
pause_menu.load,Betöltés
pause_menu.save,Mentés
pause_menu.save_and_load,Betöltés és mentés
pause_menu.resume_game,Játék folytatása
options_menu.audio.gui_volume,KEZELŐFELÜLET HANGEREJE
options_menu.audio.sounds_volume,HANGOK
options_menu.audio.music_volume,ZENE
options_menu.audio,Hang
options_menu.graphics.screen_format_err2,Válaszd ki a képernyőformátumot a felbontáslista megjelenítéséhez.
options_menu.graphics.screen_format_err,Egyedi felbontás kiválasztva.
options_menu.graphics.screen_resolution,FELBONTÁS
options_menu.graphics.gui_scale,KEZELŐFELÜLET MÉRETE
options_menu.graphics.screen_format,KÉPARÁNY
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Vertikális szinkron
options_menu.graphics.fps_unlimited,FPS korlátlan
options_menu.graphics.borderless_mode,Keret nélküli mód
options_menu.graphics.fullscreen_mode,Teljes képernyő mód
options_menu.graphics.windowed_mode,Ablakos mód
options_menu.graphics.screen_mode,KÉPERNYŐMÓD
options_menu.graphics.global_map_blur,Döntéseltolás elmosódottsága
options_menu.graphics,Grafika
options_menu.game.secs,mp
options_menu.game.hint_lock_delay,TIPPEK IDŐTARTAMA
options_menu.game.encyclopedia_events,Oktatójáték
options_menu.game.language,NYELV
options_menu.game,Játék
options_menu.title,Játékbeállítások
options_menu.cancel,Mégse
options_menu.ok,OK
options_menu.accept,Elfogad
statistics_menu.title,Statisztikák
statistics_menu.crafting,Tárgykészítés
statistics_menu.consumable,Fogyóeszköz
main_menu.new_game.family.random,Véletlenszerű
main_menu.new_game.family.talents,Tehetségek:
main_menu.new_game.family.unlimited,Korlátlan
main_menu.new_game.family.banner.back_color,Háttérszín
main_menu.new_game.family.banner.pattern_color,Minta színe
main_menu.new_game.province.game_params.beginning_scenario,Forgatókönyv indítása
crisis.no_crisis,Nincs válság
crisis.horde,Szentségtelen Horda
scenario.no_scenario,Nincs forgatókönyv
scenario.nectar_slaves,A nektár gyermekei
scenario.path_of_sword,A kard útja
scenario.deserters,Dezertőrök
scenario.juice_of_life,Éltető nedű
scenario.to_the_touch,Érintéssel
scenario.path_of_hammer,A kalapács útja
scenario.captured_wife,Fogoly
scenario.surrounded_by_enemies,Ellenségektől körülvéve
scenario.peacepul_dolina,Békés völgy
scenario.everything_is_lost,Minden oda
scenario.slave_owner,Börtöngazdák
main_menu.new_game.province.game_params.crisis,Válság
main_menu.new_game.province.game_params.crisis.no_crisis,Nincs válság
main_menu.new_game.province.game_params.crisis.unholy_horde,Szentségtelen Horda
main_menu.new_game.province.game_params.crisis.pandemic,Világjárvány
main_menu.new_game.province.game_params.crisis.religious_war,Vallási háború
main_menu.new_game.province.game_params.crisis.long_winter,Hosszú tél
main_menu.new_game.province.game_params.mutators,Módosítók
mutator.wave_fanatism,A fanatizmus hulláma
mutator.after_war,A háború után
mutator.decline_of_trade,Hanyatló kereskedelem
mutator.power_of_crowd,Egységben az erő
mutator.fast_metabolism,Gyors anyagcsere
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Beállítás
main_menu.new_game.family_editor.erethic,Eretnek
main_menu.new_game.province.game_params.adv_neighbours_settings,Haladó szomszédsági beállítások
main_menu.new_game.province.game_params.header,Játékparaméterek
main_menu.new_game.province.header,Kezdő tartomány kiválasztása
main_menu.new_game.province.header.back_to_select_mode,A saját és a többi tartomány beállítása
main_menu.new_game.province.header.next,Tovább
main_menu.new_game.province.banner,Lobogó
main_menu.new_game.province.difficulty,Nehézség
main_menu.new_game.province.difficulty.peaceful,Békés mód
main_menu.new_game.province.difficulty.normal,Normál
main_menu.new_game.hardcore_start,Veterán
main_menu.new_game.province.difficulty.ironman,Vasakarat
main_menu.new_game.province.neighbours.caution.careful,Óvatos
main_menu.new_game.province.neighbours.caution.risky,Kockázatos
main_menu.new_game.province.neighbours.caution.balanced,Kiegyensúlyozott
main_menu.new_game.province.neighbours.pacifism.default,Normál
main_menu.new_game.province.neighbours.pacifism.peaceful,Békés
main_menu.new_game.province.neighbours.city_size,Kezdő város mérete
main_menu.new_game.province.neighbours.army_power,Hadsereg ereje
main_menu.new_game.province.neighbours.enemy,Ellenszenv
main_menu.new_game.province.neighbours.friend,Rokonszenv
main_menu.new_game.province.neighbours.neutral,Semleges
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Elhagyatott város
main_menu.new_game.province.neighbours.empty,Szomszéd kiválasztása
main_menu.new_game.family.banner.sign_color,Szimbólum színe
main_menu.new_game.family.banner.pattern,Minta
main_menu.new_game.family.banner.sign,Szimbólum
main_menu.new_game.family.look.body,Test
main_menu.new_game.family.look.skin_color,Bőrszín
main_menu.new_game.family.look.hair_color,Hajszín
main_menu.new_game.family.look.beard,Szakáll
main_menu.new_game.family.look.haircut,Frizura
main_menu.new_game.family.look.head,Fej
main_menu.new_game.family.look.sex,Nem
main_menu.new_game.family.look.random,Random kinézet
main_menu.new_game.family.character_traits,KARAKTER JELLEMVONÁSAI
main_menu.new_game.family.skills,KÉPESSÉGEK
main_menu.new_game.family.overall_skills,Általános képességek
main_menu.new_game.soft_onboarding,Könnyű indulás
main_menu.new_game.family.members,Családtagok
main_menu.new_game.family.members.husband_wife_child,"Férj, feleség, gyermek"
main_menu.new_game.family.members.two_sis_and_son,Két lány és egy fiú
main_menu.new_game.family.members.two_bro,Két fiú
main_menu.new_game.family.members.three_sisters,Három lány
main_menu.new_game.family.members.father_three_doughters,Apa és lányai
main_menu.new_game.family_settings,Családi beállítások
main_menu.ng_world_should_generate,Generált világ
main_menu.ng_select_map,Térkép kiválasztása
main_menu.ng_save_name,Add meg a játékmentés nevét
main_menu.save_load.delete,Törlés
main_menu.save_load.deleted,TÖRÖLVE
main_menu.save_load.save_as.desc2,"Hagyd üresen, ha az aktuális térkép fájlneve alatt akarod menteni"
main_menu.save_load.save_as.desc,Új játékmentés neve
main_menu.save_load.save_as,Új mentés
main_menu.save_load.rewrite,Felülírás
main_menu.save_load.save,Mentés
main_menu.save_load.load,Betöltés
main_menu.save_load.autosave_morning,Reggel
main_menu.save_load.autosave_evening,Este
main_menu.mods,Modok
main_menu.credits,Stáblista
main_menu.discord,Discord
main_menu.leave_feedback,Visszajelzés
main_menu.feedback.send,Küldés
main_menu.exit,Kilépés
main_menu.settings,Beállítások
main_menu.load_game,Játék betöltése
main_menu.start_tutorial,Oktatójáték
main_menu.start_new_game,Új játék
main_menu.continue_last_game,Tovább
