Key,Czech
PLACEHOLDER,ZÁSTUPNÝ TEXT
new_buildings_disclaimer_header,Do hry přibyly nové modely budov!
tooltip.construction.place,Umísti objekt
tooltip.construction.rotate,Změnit variantu
tooltip.construction.cancel,Zpět
pause_menu.back_to_main_menu,Hlavní nabídka
pause_menu.load,Načíst
pause_menu.save,Uložit
pause_menu.save_and_load,Načíst a uložit
pause_menu.resume_game,Pokračovat ve hře
options_menu.audio.gui_volume,HLASITOST ROZHRANÍ
options_menu.audio.sounds_volume,HLASITOST ZVUKŮ
options_menu.audio.music_volume,HLASITOST HUDBY
options_menu.audio,Zvuk
options_menu.graphics.screen_format_err2,Vyber formát obrazovky a podívej se na seznam rozlišení.
options_menu.graphics.screen_format_err,Je vybráno vlastní rozlišení.
options_menu.graphics.screen_resolution,ROZLIŠENÍ
options_menu.graphics.gui_scale,MĚŘÍTKO ROZHRANÍ
options_menu.graphics.screen_format,POMĚR STRAN
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,VSync
options_menu.graphics.fps_unlimited,Neomezené FPS
options_menu.graphics.borderless_mode,Režim bez okrajů
options_menu.graphics.fullscreen_mode,Režim celé obrazovky
options_menu.graphics.windowed_mode,Režim v okně
options_menu.graphics.screen_mode,REŽIM OBRAZOVKY
options_menu.graphics.global_map_blur,Rozmazání náklonu a posunu
options_menu.graphics,Grafika
options_menu.game.secs,sek.
options_menu.game.hint_lock_delay,DÉLKA NÁPOVĚDY
options_menu.game.encyclopedia_events,Výuka ve hře
options_menu.game.language,JAZYK
options_menu.game,Hra
options_menu.title,Nastavení hry
options_menu.cancel,Zrušit
options_menu.ok,OK
options_menu.accept,Přijmout
statistics_menu.title,Statistika
statistics_menu.crafting,Výroba
statistics_menu.consumable,Spotřební
main_menu.new_game.family.random,Náhodné
main_menu.new_game.family.talents,Talenty
main_menu.new_game.family.unlimited,Bez limitu
main_menu.new_game.family.banner.back_color,Barva pozadí
main_menu.new_game.family.banner.pattern_color,Barva vzoru
main_menu.new_game.province.game_params.beginning_scenario,Zahájit scénář
crisis.no_crisis,Žádná krize
crisis.horde,Nesvatá horda
scenario.no_scenario,Bez scénáře
scenario.nectar_slaves,Nektarové děti
scenario.path_of_sword,Cesta meče
scenario.deserters,Zběhové
scenario.juice_of_life,Životní šťáva
scenario.to_the_touch,Na dotek
scenario.path_of_hammer,Cesta kladiva
scenario.captured_wife,Vězeň
scenario.surrounded_by_enemies,V obklopení nepřátel
scenario.peacepul_dolina,Poklidné údolí
scenario.everything_is_lost,Všechno je ztraceno
scenario.slave_owner,Majitelé vězení
main_menu.new_game.province.game_params.crisis,Krize
main_menu.new_game.province.game_params.crisis.no_crisis,Žádná krize
main_menu.new_game.province.game_params.crisis.unholy_horde,Nesvatá horda
main_menu.new_game.province.game_params.crisis.pandemic,Pandemie
main_menu.new_game.province.game_params.crisis.religious_war,Náboženská válka
main_menu.new_game.province.game_params.crisis.long_winter,Dlouhá zima
main_menu.new_game.province.game_params.mutators,Modifikátory
mutator.wave_fanatism,Vlna fanatismu
mutator.after_war,Dozvuky války
mutator.decline_of_trade,Pokles obchodu
mutator.power_of_crowd,Početní převaha
mutator.fast_metabolism,Rychlý metabolismus
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Nastavit
main_menu.new_game.family_editor.erethic,Kacíř
main_menu.new_game.province.game_params.adv_neighbours_settings,Pokročilé nastavení sousedů
main_menu.new_game.province.game_params.header,Parametry hry
main_menu.new_game.province.header,Vyber si počáteční provincii.
main_menu.new_game.province.header.back_to_select_mode,Nastav si svou i ostatní provincie.
main_menu.new_game.province.header.next,Další
main_menu.new_game.province.banner,Prapor
main_menu.new_game.province.difficulty,Obtížnost
main_menu.new_game.province.difficulty.peaceful,Mírumilovný režim
main_menu.new_game.province.difficulty.normal,Normální
main_menu.new_game.hardcore_start,Hardcore
main_menu.new_game.province.difficulty.ironman,Železná vůle
main_menu.new_game.province.neighbours.caution.careful,Opatrní
main_menu.new_game.province.neighbours.caution.risky,Riskantní
main_menu.new_game.province.neighbours.caution.balanced,Vyvážené
main_menu.new_game.province.neighbours.pacifism.default,Normální
main_menu.new_game.province.neighbours.pacifism.peaceful,Mírumilovní
main_menu.new_game.province.neighbours.city_size,Počáteční velikost města
main_menu.new_game.province.neighbours.army_power,Síla vojska
main_menu.new_game.province.neighbours.enemy,Nelibost
main_menu.new_game.province.neighbours.friend,Sympatie
main_menu.new_game.province.neighbours.neutral,Neutrální
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Opuštěné město
main_menu.new_game.province.neighbours.empty,Vyber si souseda
main_menu.new_game.family.banner.sign_color,Barva znaku
main_menu.new_game.family.banner.pattern,Vzor
main_menu.new_game.family.banner.sign,Znak
main_menu.new_game.family.look.body,Tělo
main_menu.new_game.family.look.skin_color,Barva pleti
main_menu.new_game.family.look.hair_color,Barva vlasů
main_menu.new_game.family.look.beard,Fousy
main_menu.new_game.family.look.haircut,Účes
main_menu.new_game.family.look.head,Hlava
main_menu.new_game.family.look.sex,Pohlaví
main_menu.new_game.family.look.random,Náhodný vzhled
main_menu.new_game.family.character_traits,VLASTNOSTI POSTAVY
main_menu.new_game.family.skills,SCHOPNOSTI
main_menu.new_game.family.overall_skills,Celkové schopnosti
main_menu.new_game.soft_onboarding,Snadný začátek
main_menu.new_game.family.members,Rozvržení rodiny
main_menu.new_game.family.members.husband_wife_child,"Manželka, žena, dítě"
main_menu.new_game.family.members.two_sis_and_son,Dvě sestry a syn
main_menu.new_game.family.members.two_bro,Dva bratři
main_menu.new_game.family.members.three_sisters,Tři sestry
main_menu.new_game.family.members.father_three_doughters,Otec a dcery
main_menu.new_game.family_settings,Nastavení rodiny
main_menu.ng_world_should_generate,Generovat svět
main_menu.ng_select_map,Vyber si mapu
main_menu.ng_save_name,Zadej název úložné pozice
main_menu.save_load.delete,Smazat
main_menu.save_load.deleted,SMAZÁNO
main_menu.save_load.save_as.desc2,"Když necháš políčko prázdné, hra se bude ukládat pod aktuálním názvem souboru mapy"
main_menu.save_load.save_as.desc,Nový název úložné pozice
main_menu.save_load.save_as,Nová pozice
main_menu.save_load.rewrite,Přepsat
main_menu.save_load.save,Uložit
main_menu.save_load.load,Načíst
main_menu.save_load.autosave_morning,Ráno
main_menu.save_load.autosave_evening,Večer
main_menu.mods,Mody
main_menu.credits,Autoři
main_menu.discord,Discord
main_menu.leave_feedback,Zpětná vazba
main_menu.feedback.send,Zaslat
main_menu.exit,Konec
main_menu.settings,Nastavení
main_menu.load_game,Načíst hru
main_menu.start_tutorial,Výuka
main_menu.start_new_game,Nová hra
main_menu.continue_last_game,Pokračovat
