Key,TraditionalChinese
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,遊戲增加全新的建築模型！
tooltip.construction.place,請放置建物
tooltip.construction.rotate,切換變體
tooltip.construction.cancel,返回
pause_menu.back_to_main_menu,主選單
pause_menu.load,讀檔
pause_menu.save,存檔
pause_menu.save_and_load,讀檔＆存檔
pause_menu.resume_game,繼續遊戲
options_menu.audio.gui_volume,介面音量
options_menu.audio.sounds_volume,音效音量
options_menu.audio.music_volume,音樂音量
options_menu.audio,音訊
options_menu.graphics.screen_format_err2,選取畫面格式以顯示解析度清單。
options_menu.graphics.screen_format_err,已選取自訂解析度。
options_menu.graphics.screen_resolution,解析度
options_menu.graphics.gui_scale,介面縮放
options_menu.graphics.screen_format,畫面長寬比
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,垂直同步
options_menu.graphics.fps_unlimited,不限幀率
options_menu.graphics.borderless_mode,無邊框
options_menu.graphics.fullscreen_mode,全螢幕
options_menu.graphics.windowed_mode,視窗化
options_menu.graphics.screen_mode,顯示模式
options_menu.graphics.global_map_blur,移軸模糊
options_menu.graphics,畫質
options_menu.game.secs,秒
options_menu.game.hint_lock_delay,提示時長
options_menu.game.encyclopedia_events,遊戲內教學
options_menu.game.language,語言
options_menu.game,遊戲
options_menu.title,遊戲設定
options_menu.cancel,取消
options_menu.ok,確定
options_menu.accept,確定
statistics_menu.title,統計
statistics_menu.crafting,生產品
statistics_menu.consumable,消耗品
main_menu.new_game.family.random,隨機
main_menu.new_game.family.talents,天賦：
main_menu.new_game.family.unlimited,無限制
main_menu.new_game.family.banner.back_color,背景顏色
main_menu.new_game.family.banner.pattern_color,樣式顏色
main_menu.new_game.province.game_params.beginning_scenario,起始劇本
crisis.no_crisis,無危機
crisis.horde,孽惡部族
scenario.no_scenario,無劇本
scenario.nectar_slaves,痛「癮」蜜露
scenario.path_of_sword,劈荊斬棘
scenario.deserters,逃兵流寇
scenario.juice_of_life,生命瓊漿
scenario.to_the_touch,瞎子摸象
scenario.path_of_hammer,匠人精神
scenario.captured_wife,囚犯
scenario.surrounded_by_enemies,腹背受敵
scenario.peacepul_dolina,和平之鄉
scenario.everything_is_lost,滿盤皆輸
scenario.slave_owner,囚徒領主
main_menu.new_game.province.game_params.crisis,危機
main_menu.new_game.province.game_params.crisis.no_crisis,無危機
main_menu.new_game.province.game_params.crisis.unholy_horde,孽惡部族
main_menu.new_game.province.game_params.crisis.pandemic,瘟疫爆發
main_menu.new_game.province.game_params.crisis.religious_war,宗教戰爭
main_menu.new_game.province.game_params.crisis.long_winter,漫長凜冬
main_menu.new_game.province.game_params.mutators,變數
mutator.wave_fanatism,狂信浪潮
mutator.after_war,戰後餘波
mutator.decline_of_trade,貿易衰退
mutator.power_of_crowd,人多勢眾
mutator.fast_metabolism,疾速代謝
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,設定
main_menu.new_game.family_editor.erethic,異教徒
main_menu.new_game.province.game_params.adv_neighbours_settings,鄰近勢力進階設定
main_menu.new_game.province.game_params.header,遊戲參數
main_menu.new_game.province.header,選擇起始省邦
main_menu.new_game.province.header.back_to_select_mode,設定自己和鄰近省邦
main_menu.new_game.province.header.next,下一步
main_menu.new_game.province.banner,旗幟
main_menu.new_game.province.difficulty,難度
main_menu.new_game.province.difficulty.peaceful,和平模式
main_menu.new_game.province.difficulty.normal,正常
main_menu.new_game.hardcore_start,硬核
main_menu.new_game.province.difficulty.ironman,鋼鐵意志
main_menu.new_game.province.neighbours.caution.careful,謹慎行事
main_menu.new_game.province.neighbours.caution.risky,不畏風險
main_menu.new_game.province.neighbours.caution.balanced,平衡
main_menu.new_game.province.neighbours.pacifism.default,正常
main_menu.new_game.province.neighbours.pacifism.peaceful,和平
main_menu.new_game.province.neighbours.city_size,起始城鎮規模
main_menu.new_game.province.neighbours.army_power,軍事實力
main_menu.new_game.province.neighbours.enemy,反感
main_menu.new_game.province.neighbours.friend,志同道合
main_menu.new_game.province.neighbours.neutral,中立
main_menu.new_game.province.kingdom.culture.gwelts,凱登語
main_menu.new_game.province.kingdom.culture.tanaya,塔納雅語
main_menu.new_game.province.kingdom.culture.makha,瑪哈語
main_menu.new_game.province.kingdom.culture.voruns,瓦恩語
main_menu.new_game.province.neighbours.abandoned_town,廢棄城鎮
main_menu.new_game.province.neighbours.empty,選擇鄰近勢力
main_menu.new_game.family.banner.sign_color,家徽顏色
main_menu.new_game.family.banner.pattern,樣式
main_menu.new_game.family.banner.sign,立碑
main_menu.new_game.family.look.body,體型
main_menu.new_game.family.look.skin_color,膚色
main_menu.new_game.family.look.hair_color,髮色
main_menu.new_game.family.look.beard,鬍鬚
main_menu.new_game.family.look.haircut,髮型
main_menu.new_game.family.look.head,頭型
