Key,Indonesia
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Model bangunan baru ditambahkan ke dalam permainan!
tooltip.construction.place,Letakkan objek
tooltip.construction.rotate,Ganti Varian
tooltip.construction.cancel,Kembali
pause_menu.back_to_main_menu,Menu Utama
pause_menu.load,Muat
pause_menu.save,Simpan
pause_menu.save_and_load,Muat dan Simpan
pause_menu.resume_game,Lanjutkan Permainan
options_menu.audio.gui_volume,VOLUME GUI
options_menu.audio.sounds_volume,VOLUME SUARA
options_menu.audio.music_volume,VOLUME MUSIK
options_menu.audio,Audio
options_menu.graphics.screen_format_err2,Pilih format layar untuk menampilkan daftar resolusi.
options_menu.graphics.screen_format_err,Resolusi kustom dipilih.
options_menu.graphics.screen_resolution,RESOLUSI
options_menu.graphics.gui_scale,SKALA UI
options_menu.graphics.screen_format,Rasio Aspek
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,VSync
options_menu.graphics.fps_unlimited,FPS Tak Terbatas
options_menu.graphics.borderless_mode,Mode Tanpa Bingkai
options_menu.graphics.fullscreen_mode,Mode Layar Penuh
options_menu.graphics.windowed_mode,Mode Jendela
options_menu.graphics.screen_mode,MODE LAYAR
options_menu.graphics.global_map_blur,Efek Blur Tilt-shift
options_menu.graphics,Grafis
options_menu.game.secs,detik
options_menu.game.hint_lock_delay,DURASI PETUNJUK
options_menu.game.encyclopedia_events,TUTORIAL DALAM PERMAINAN
options_menu.game.language,BAHASA
options_menu.game,Permainan
options_menu.title,Pengaturan Permainan
options_menu.cancel,Batal
options_menu.ok,OK
options_menu.accept,Terima
statistics_menu.title,Statistik
statistics_menu.crafting,crafting
statistics_menu.consumable,Konsumabel
main_menu.new_game.family.random,Acak
main_menu.new_game.family.talents,Bakat:
main_menu.new_game.family.unlimited,Tak Terbatas
main_menu.new_game.family.banner.back_color,Warna Latar Belakang
main_menu.new_game.family.banner.pattern_color,Warna Pola
main_menu.new_game.province.game_params.beginning_scenario,Mulai Skenario
crisis.no_crisis,Tidak ada krisis
crisis.horde,Unholy Horde
scenario.no_scenario,Tidak ada skenario
scenario.nectar_slaves,Anak-anak Nektar
scenario.path_of_sword,Jalan Pedang
scenario.deserters,Pembelot
scenario.juice_of_life,Jus Kehidupan
scenario.to_the_touch,Dengan Sentuhan
scenario.path_of_hammer,Jalan Palu
scenario.captured_wife,Narapidana
scenario.surrounded_by_enemies,Dikelilingi Musuh
scenario.peacepul_dolina,Lembah Damai
scenario.everything_is_lost,Semuanya Hilang
scenario.slave_owner,Pemilik Penjara
main_menu.new_game.province.game_params.crisis,Krisis
main_menu.new_game.province.game_params.crisis.no_crisis,Tidak ada krisis
main_menu.new_game.province.game_params.crisis.unholy_horde,Unholy Horde
main_menu.new_game.province.game_params.crisis.pandemic,Pandemi
main_menu.new_game.province.game_params.crisis.religious_war,Perang Agama
main_menu.new_game.province.game_params.crisis.long_winter,Musim Dingin Panjang
main_menu.new_game.province.game_params.mutators,Modifikasi
mutator.wave_fanatism,Gelombang Fanatisme
mutator.after_war,Setelah Perang
mutator.decline_of_trade,Penurunan Perdagangan
