Key,PortugueseBrazilian
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Novos modelos de edifícios adicionados ao jogo!
tooltip.construction.place,Coloque o objeto
tooltip.construction.rotate,Trocar variante
tooltip.construction.cancel,Voltar
pause_menu.back_to_main_menu,Menu principal
pause_menu.load,Carregar
pause_menu.save,Salvar
pause_menu.save_and_load,Carregar e salvar
pause_menu.resume_game,Continuar jogo
options_menu.audio.gui_volume,VOLUME DA INTERFACE
options_menu.audio.sounds_volume,VOLUME DOS EFEITOS
options_menu.audio.music_volume,VOLUME DA MÚSICA
options_menu.audio,Áudio
options_menu.graphics.screen_format_err2,Selecione o formato de tela para exibição da lista de resoluções.
options_menu.graphics.screen_format_err,Resolução personalizada selecionada.
options_menu.graphics.screen_resolution,RESOLUÇÃO
options_menu.graphics.gui_scale,ESCALA DA INTERFACE
options_menu.graphics.screen_format,PROPORÇÃO DE TELA
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Sincronização vertical
options_menu.graphics.fps_unlimited,FPS ilimitado
options_menu.graphics.borderless_mode,Modo sem bordas
options_menu.graphics.fullscreen_mode,Modo tela cheia
options_menu.graphics.windowed_mode,Modo janela
options_menu.graphics.screen_mode,MODO DE TELA
options_menu.graphics.global_map_blur,Desfoque tilt-shift
options_menu.graphics,Gráficos
options_menu.game.secs,seg
options_menu.game.hint_lock_delay,DURAÇÃO DA DICA
options_menu.game.encyclopedia_events,Tutoriais no jogo
options_menu.game.language,IDIOMA
options_menu.game,Jogo
options_menu.title,Configurações de jogo
options_menu.cancel,Cancelar
options_menu.ok,OK
options_menu.accept,Aceitar
statistics_menu.title,Estatísticas
statistics_menu.crafting,Criação
statistics_menu.consumable,Consumíveis
main_menu.new_game.family.random,Aleatório
main_menu.new_game.family.talents,Talentos:
main_menu.new_game.family.unlimited,Ilimitado
main_menu.new_game.family.banner.back_color,Cor de pano de fundo
main_menu.new_game.family.banner.pattern_color,Cor padrão
main_menu.new_game.province.game_params.beginning_scenario,Cenário inicial
crisis.no_crisis,Sem crise
crisis.horde,Horda Profana
scenario.no_scenario,Sem cenário
scenario.nectar_slaves,Crianças do néctar
scenario.path_of_sword,O caminho da espada
scenario.deserters,Desertores
scenario.juice_of_life,Suco da vida
scenario.to_the_touch,Pelo toque
scenario.path_of_hammer,O caminho do martelo
scenario.captured_wife,Prisioneiro
scenario.surrounded_by_enemies,Cercado por inimigos
scenario.peacepul_dolina,Vilarejo pacífico
scenario.everything_is_lost,Tudo está perdido
scenario.slave_owner,Donos da prisão
main_menu.new_game.province.game_params.crisis,Crise
main_menu.new_game.province.game_params.crisis.no_crisis,Sem crise
main_menu.new_game.province.game_params.crisis.unholy_horde,Horda Profana
main_menu.new_game.province.game_params.crisis.pandemic,Pandemia
main_menu.new_game.province.game_params.crisis.religious_war,Guerra santa
main_menu.new_game.province.game_params.crisis.long_winter,Inverno longo
main_menu.new_game.province.game_params.mutators,Modificadores
mutator.wave_fanatism,Onda de fanatismo
mutator.after_war,Após a guerra
mutator.decline_of_trade,Redução do comércio
mutator.power_of_crowd,Força nos números
mutator.fast_metabolism,Metabolismo rápido
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Equipamento
main_menu.new_game.family_editor.erethic,Herege
main_menu.new_game.province.game_params.adv_neighbours_settings,Configurações avançadas de vizinhança
main_menu.new_game.province.game_params.header,Parâmetros do jogo
main_menu.new_game.province.header,Escolha uma província para iniciar
main_menu.new_game.province.header.back_to_select_mode,Equipe a sua e outras províncias
main_menu.new_game.province.header.next,Próximo
main_menu.new_game.province.banner,Estandarte
main_menu.new_game.province.difficulty,Dificuldade
main_menu.new_game.province.difficulty.peaceful,Modo pacífico
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Difícil
main_menu.new_game.province.difficulty.ironman,Determinação de ferro
main_menu.new_game.province.neighbours.caution.careful,Cuidadoso
main_menu.new_game.province.neighbours.caution.risky,Arriscado
main_menu.new_game.province.neighbours.caution.balanced,Equilibrado
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Pacífico
main_menu.new_game.province.neighbours.city_size,Tamanho inicial da cidade
main_menu.new_game.province.neighbours.army_power,Força do exército
main_menu.new_game.province.neighbours.enemy,Desgosto
main_menu.new_game.province.neighbours.friend,Simpatia
main_menu.new_game.province.neighbours.neutral,Neutro
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Cidade abandonada
main_menu.new_game.province.neighbours.empty,Escolha um vizinho
main_menu.new_game.family.banner.sign_color,Cor do símbolo
main_menu.new_game.family.banner.pattern,Padrão
main_menu.new_game.family.banner.sign,Símbolo
main_menu.new_game.family.look.body,Corpo
main_menu.new_game.family.look.skin_color,Tom de pele
main_menu.new_game.family.look.hair_color,Cor de cabelo
main_menu.new_game.family.look.beard,Barba
main_menu.new_game.family.look.haircut,Penteado
main_menu.new_game.family.look.head,Cabeça
main_menu.new_game.family.look.sex,Gênero
main_menu.new_game.family.look.random,Estilo aleatório
main_menu.new_game.family.character_traits,CARACTERÍSTICAS DO PERSONAGEM
main_menu.new_game.family.skills,HABILIDADES
main_menu.new_game.family.overall_skills,Habilidades gerais
main_menu.new_game.soft_onboarding,Início fácil
main_menu.new_game.family.members,Membros da família
main_menu.new_game.family.members.husband_wife_child,"Marido, esposa, criança"
main_menu.new_game.family.members.two_sis_and_son,Duas irmãs e um filho
main_menu.new_game.family.members.two_bro,Dois irmãos
