Key,Spanish
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,¡Se han añadido nuevos modelos de edificios al juego!
tooltip.construction.place,Colocar el objeto
tooltip.construction.rotate,Cambiar variante
tooltip.construction.cancel,Atrás
pause_menu.back_to_main_menu,Menú principal
pause_menu.load,Cargar
pause_menu.save,Guardar
pause_menu.save_and_load,Cargar y guardar
pause_menu.resume_game,Continuar partida
options_menu.audio.gui_volume,VOLUMEN: INTERFAZ GRÁFICA
options_menu.audio.sounds_volume,VOLUMEN: SONIDO
options_menu.audio.music_volume,VOLUMEN: MÚSICA
options_menu.audio,Sonido
options_menu.graphics.screen_format_err2,Selecciona el formato de la pantalla para mostrar la lista de resoluciones.
options_menu.graphics.screen_format_err,Se ha elegido una resolución personalizada.
options_menu.graphics.screen_resolution,RESOLUCIÓN
options_menu.graphics.gui_scale,ESCALA DE LA INTERFAZ
options_menu.graphics.screen_format,RELACIÓN DE ASPECTO
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Sincronización vertical
options_menu.graphics.fps_unlimited,FPS ilimitados
options_menu.graphics.borderless_mode,Sin borde
options_menu.graphics.fullscreen_mode,Pantalla completa
options_menu.graphics.windowed_mode,Ventana
options_menu.graphics.screen_mode,MODO DE VISUALIZACIÓN
options_menu.graphics.global_map_blur,Efecto diorama
options_menu.graphics,Gráficos
options_menu.game.secs,s
options_menu.game.hint_lock_delay,DURACIÓN DE LOS CONSEJOS
options_menu.game.encyclopedia_events,Tutorial en el juego
options_menu.game.language,IDIOMA
options_menu.game,Juego
options_menu.title,Configuración del juego
options_menu.cancel,Cancelar
options_menu.ok,Aceptar
options_menu.accept,Aceptar
statistics_menu.title,Estadísticas
statistics_menu.crafting,Creación
statistics_menu.consumable,Consumibles
main_menu.new_game.family.random,Al azar
main_menu.new_game.family.talents,Talentos:
main_menu.new_game.family.unlimited,Ilimitado
main_menu.new_game.family.banner.back_color,Color de fondo
main_menu.new_game.family.banner.pattern_color,Patrón de color
main_menu.new_game.province.game_params.beginning_scenario,Empezar escenario
crisis.no_crisis,Sin crisis
crisis.horde,Horda Impía
scenario.no_scenario,Sin escenario
scenario.nectar_slaves,Hijos del néctar
scenario.path_of_sword,La senda de la espada
scenario.deserters,Desertores
scenario.juice_of_life,El fluido vital
scenario.to_the_touch,Por el tacto
scenario.path_of_hammer,La senda del martillo
scenario.captured_wife,Prisionero
scenario.surrounded_by_enemies,Rodeado de enemigos
scenario.peacepul_dolina,Valle pacífico
scenario.everything_is_lost,Todo está perdido
scenario.slave_owner,Propietarios de prisiones
main_menu.new_game.province.game_params.crisis,Crisis
main_menu.new_game.province.game_params.crisis.no_crisis,Sin crisis
main_menu.new_game.province.game_params.crisis.unholy_horde,Horda Impía
main_menu.new_game.province.game_params.crisis.pandemic,Pandemia
main_menu.new_game.province.game_params.crisis.religious_war,Guerra religiosa
main_menu.new_game.province.game_params.crisis.long_winter,Largo invierno
main_menu.new_game.province.game_params.mutators,Modificadores
mutator.wave_fanatism,Oleada de fanatismo
mutator.after_war,Posguerra
mutator.decline_of_trade,Disminución del comercio
mutator.power_of_crowd,La unión hace la fuerza
mutator.fast_metabolism,Metabolismo rápido
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Ajustes
main_menu.new_game.family_editor.erethic,Hereje
main_menu.new_game.province.game_params.adv_neighbours_settings,Configuración avanzada de los vecinos
main_menu.new_game.province.game_params.header,Parámetros del juego
main_menu.new_game.province.header,Elige tu provincia inicial
main_menu.new_game.province.header.back_to_select_mode,Configura tu provincia y las demás
main_menu.new_game.province.header.next,Siguiente
main_menu.new_game.province.banner,Estandarte
main_menu.new_game.province.difficulty,Dificultad
main_menu.new_game.province.difficulty.peaceful,Modo Pacífico
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Extrema
main_menu.new_game.province.difficulty.ironman,Voluntad de hierro
main_menu.new_game.province.neighbours.caution.careful,Cuidadoso
main_menu.new_game.province.neighbours.caution.risky,Arriesgado
main_menu.new_game.province.neighbours.caution.balanced,Equilibrado
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Pacífico
main_menu.new_game.province.neighbours.city_size,Tamaño inicial de la ciudad
main_menu.new_game.province.neighbours.army_power,Fuerza del ejército
main_menu.new_game.province.neighbours.enemy,Desprecio
main_menu.new_game.province.neighbours.friend,Simpatía
main_menu.new_game.province.neighbours.neutral,Neutral
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Ciudad abandonada
main_menu.new_game.province.neighbours.empty,Elige vecino
main_menu.new_game.family.banner.sign_color,Color del emblema
main_menu.new_game.family.banner.pattern,Patrón
main_menu.new_game.family.banner.sign,Emblema
main_menu.new_game.family.look.body,Cuerpo
main_menu.new_game.family.look.skin_color,Color de la piel
main_menu.new_game.family.look.hair_color,Color del pelo
main_menu.new_game.family.look.beard,Barba
main_menu.new_game.family.look.haircut,Peinado
main_menu.new_game.family.look.head,Cabeza
main_menu.new_game.family.look.sex,Género
main_menu.new_game.family.look.random,Aspecto al azar
main_menu.new_game.family.character_traits,RASGOS DE PERSONAJE
main_menu.new_game.family.skills,HABILIDADES
main_menu.new_game.family.overall_skills,Habilidades generales
main_menu.new_game.soft_onboarding,Comienzo fácil
main_menu.new_game.family.members,Miembros de la familia
main_menu.new_game.family.members.husband_wife_child,"Marido, mujer, infante"
main_menu.new_game.family.members.two_sis_and_son,Dos hermanas y un hijo
main_menu.new_game.family.members.two_bro,Dos hermanos
main_menu.new_game.family.members.three_sisters,Tres hermanas
main_menu.new_game.family.members.father_three_doughters,Padre e hijas
main_menu.new_game.family_settings,Configuración de familia
main_menu.ng_world_should_generate,Generar mundo
main_menu.ng_select_map,Seleccionar mapa
main_menu.ng_save_name,Introducir nombre de partida guardada
main_menu.save_load.delete,Borrar
main_menu.save_load.deleted,BORRADO
main_menu.save_load.save_as.desc2,Dejar vacío para guardar con el mismo nombre de partida guardada del mapa actual
main_menu.save_load.save_as.desc,Nuevo nombre de partida guardada
main_menu.save_load.save_as,Nuevo guardado
main_menu.save_load.rewrite,Sobrescribir
main_menu.save_load.save,Guardar
main_menu.save_load.load,Cargar
main_menu.save_load.autosave_morning,Mañana
main_menu.save_load.autosave_evening,Tarde
main_menu.mods,Mods
main_menu.credits,Créditos
main_menu.discord,Discord
main_menu.leave_feedback,Comentarios
main_menu.feedback.send,Proporcionar
main_menu.exit,Salir
main_menu.settings,Ajustes
main_menu.load_game,Cargar partida
main_menu.start_tutorial,Tutorial
main_menu.start_new_game,Nueva partida
main_menu.continue_last_game,Continuar
main_menu.save_and_exit,Guardar y salir
main_menu.start,Empezar
main_menu.back,Atrás
menu.problems,Problemas
adv_tutorial.obj_build_sawmill_place_text,Construye la serrería aquí
adv_tutorial.obj_build_field_place_text,Coloca el campo de colinabo aquí
adv_tutorial.obj_build_taverna_place_text,Construye la taberna aquí
adv_tutorial.obj_build_generic_place_text,Colócala aquí
notification.tutorial.ambush,¡Los bandidos nos atacan!
loading_screen,Cargando... Espera.
loading_screen.ingame.misc_loading,Cargando datos
loading_screen.ingame.gui_init,Creando interfaz gráfica
loading_screen.ingame.save_game_load,Cargando partida guardada
loading_screen.ingame.new_game_load,Iniciando partida nueva
loading_screen.ingame.gui_system,Iniciando interfaz gráfica
loading_screen.ingame.map_cells,Creando celdas del mapa
loading_screen.ingame.trade_manager,Iniciando gestor de comercio
loading_screen.ingame.local_map_controller,Cargando controlador del mapa local
loading_screen.ingame.province_controller,Cargando datos de las provincias
loading_screen.ingame.global_map,Cargando mapa externo
loading_screen.ingame.battle_injuty_lottery,Cargando probabilidades de herida en combate
loading_screen.ingame.game_system_init,Iniciando sistemas del juego
loading_screen.ingame_unloading,Descargando recursos del juego
loading_screen.caching_textures,Almacenando texturas
loading_screen.game_vars,Cargando variables del juego
loading_screen.audio,Ejecutando sistema de sonido
loading_screen.animations,Cargando animaciones
loading_screen.building_assets,Cargando recursos de edificios
loading_screen.actor_assets,Cargando recursos de agentes
loading_screen.traits,Cargando rasgos
loading_screen.minds,Cargando mentes
loading_screen.tantrums,Cargando berrinches
loading_screen.activity,Cargando actividades
loading_screen.game_data,Cargando datos del juego
loading_screen.building_constructions,Cargando construcciones de edificios
loading_screen.banners,Cargando estandartes
loading_screen.gui,Cargando interfaz gráfica
loading_screen.hints,Cargando consejos
loading_screen.rich_string,Cargando cadena enriquecida
loading_screen.knowledge_localization,Cargando localización del conocimiento
loading_screen.saves_and_maps,Cargando mundo y listas de guardado
loading_screen.done,Carga completa.
encyclopedia.help,AYUDA
encyclopedia.category.battle,Combate
encyclopedia.category.economics,Economía
encyclopedia.category.characters,Personajes
encyclopedia.category.mechanics,Mecánicas
encyclopedia.category.hints,Consejos
encyclopedia.category.global_map,Mapa
encyclopedia.search,Buscar...
action_task.skill_training_caption,Enseñando {skill_name}
actor.relations.filter.location,Cerca
actor.relations.filter.kings,Monarcas
actor.relations.filter.friends,Amigos
actor.relations.filter.enemies,Enemigos
actor.relations.filter.can_seduce,Es posible la seducción
action_task.category.king,Monarca
action_task.category.social,Social
action_task.category.bishop,Obispo
action_task.sub_category.social,Comunicación
action_task.sub_category.intrigue,Intriga
actor.action_task.begging,Pedir perdón
actor.action_task.nominate_enemy,Declarar como enemigo
actor.action_task_hunt,Cazar lobos devoradores
actor.action_task_sick_visit,Visitar a los enfermos
actor.action_task.marriage,Casarse
actor.action_task.bribe,Sobornar
actor.action_task.punish,Castigar
actor.action_task.reward,Recompensar
actor.action_task.rumors,Difundir rumores
actor.action_task.spent_time,Pasar el tiempo
actor.action_task.invite,Invitar
actor.action_task.teach,Educar
actor.action_task.threat,Amenazar
actor.action_task.trade,Comerciar
actor.action_task.make_free,Liberar
actor.action_task.seduction,Seducir
actor.action_task.donate,Donar al monarca
actor.action_task.kill,Matar
actor.action_task.poison,Envenenar
actor.action_task.play_dice,Jugar a los dados
actor.action_task.depart,Exiliar
actor.action_task.duel_call,Retar a un duelo
actor.action_task.duel_provocation,Provocar duelo
actor.action_task.free_lord_hire,Contratar a un señor
actor.action_task.send_guest,Enviar un invitado
actor.action_task.king_tribute,Ofrendar
actor.action_task.confession,Confesar
actor.action_task.kidnap,Capturar
actor.action_task.free_captive,Soltar
actor.action_task.forced_sex,Forzar a tener sexo
actor.action_task.appoint_an_heir,Declarar como heredero
actor.action_task.go_home,Enviar a casa
actor.action_task.sex_with_dummy,Proponer sexo
actor.action_task.new_heir,Nombrar como heredero
actor.action_task.canonization,Bendecir
actor.action_task.divorce,Divorciarse
actor.action_task.consolation,Consolar
actor.action_task.give_title_to_hired_free_lord,Conceder un título
actor.action_task.give_title_to_soldier,Conceder un título
actor.action_task.take_title,Anular título de señor
actor.action_task.join_captive,Liberar y aceptar
actor.action_task.new_king,Abdicar
actor.appoint_in_town,En {town_name}
actor.appoint_in_this_town,En esta ciudad
actor.appoint.our_lords,Nuestros señores
actor.appoint.other_lords,Otros señores
actor.action.training,ENTRENAMIENTO
actor.action.conversation,NEGOCIACIONES
actor.action.army.on_local_map,En mapa local
actor.action.army.on_global_map,En mapa del mundo
actor.action.army,EJÉRCITO
actor.action.executor,AGENTE
actor.action.executor_replace,SUSTITUIR
actor.action.teacher,MAESTRO
actor.action.chancellery_any,Cualquier cancillería
actor.action.punishment,CASTIGO
actor.action.teach,APRENDER
actor.action.person,¿A QUÍEN?
actor.action.different_actions,ACCIÓN
actor.action.trade,COMERCIAR
actor.action_task.invite_guest,Invitar a tu provincia
actor.status.on_global_map,Por el mundo
actor.status.on_global_map_lost,Desaparecido
actor.status.in_army,En una escuadra por el mundo
actor.status.in_travel,Viajando
actor.status.in_object,En {object_name}
actor.adjective.addicted_to_drink,Propensión a la bebida
actor.adjective.ambitious,Ambicioso
actor.adjective.angry,Vengativo
actor.adjective.arrogant,Arrogante
actor.adjective.ascetic,Asceta
actor.adjective.bloodthirsty,Sanguinario
actor.adjective.contemptuous,Despectivo
actor.adjective.contradictory,Contradictorio
actor.adjective.emotional,Emocional
actor.adjective.envious,Envidioso
actor.adjective.friendly,Amistoso
