Key,Japanese
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,ゲームに新しい建物モデルが登場！
tooltip.construction.place,オブジェクトを配置
tooltip.construction.rotate,変種を切り替える
tooltip.construction.cancel,戻る
pause_menu.back_to_main_menu,メインメニュー
pause_menu.load,ロード
pause_menu.save,セーブ
pause_menu.save_and_load,ロード＆セーブ
pause_menu.resume_game,ゲームを続ける
options_menu.audio.gui_volume,GUI音量
options_menu.audio.sounds_volume,サウンド音量
options_menu.audio.music_volume,BGM音量
options_menu.audio,オーディオ
options_menu.graphics.screen_format_err2,解像度のリストを表示する画面形式を選択します。
options_menu.graphics.screen_format_err,カスタム解像度を選択しました。
options_menu.graphics.screen_resolution,解像度
options_menu.graphics.gui_scale,UIスケール
options_menu.graphics.screen_format,アスペクト比
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,垂直同期
options_menu.graphics.fps_unlimited,FPS無制限
options_menu.graphics.borderless_mode,ボーダーレスモード
options_menu.graphics.fullscreen_mode,フルスクリーンモード
options_menu.graphics.windowed_mode,ウィンドウモード
options_menu.graphics.screen_mode,スクリーンモード
options_menu.graphics.global_map_blur,ティルトシフト・ブラー
options_menu.graphics,グラフィック
options_menu.game.secs,秒
options_menu.game.hint_lock_delay,ヒント表示時間
options_menu.game.encyclopedia_events,ゲーム内チュートリアル
options_menu.game.language,言語
options_menu.game,ゲーム
options_menu.title,ゲーム設定
options_menu.cancel,キャンセル
options_menu.ok,OK
options_menu.accept,承諾
statistics_menu.title,ステータス
statistics_menu.crafting,クラフト
statistics_menu.consumable,消耗品
main_menu.new_game.family.random,ランダム
main_menu.new_game.family.talents,タレント：
main_menu.new_game.family.unlimited,無制限
main_menu.new_game.family.banner.back_color,背景色
main_menu.new_game.family.banner.pattern_color,パターン色
main_menu.new_game.province.game_params.beginning_scenario,シナリオを開始
crisis.no_crisis,危機の発生なし
crisis.horde,罪深き軍団
scenario.no_scenario,シナリオなし
scenario.nectar_slaves,ネクタルの子供
scenario.path_of_sword,剣の道
scenario.deserters,脱走兵
scenario.juice_of_life,生命のジュース
scenario.to_the_touch,手探り
scenario.path_of_hammer,ハンマーの道
scenario.captured_wife,囚人
scenario.surrounded_by_enemies,敵の包囲網
scenario.peacepul_dolina,平穏なる渓谷
scenario.everything_is_lost,すべてが失われた
scenario.slave_owner,牢獄の管理人
main_menu.new_game.province.game_params.crisis,危機
main_menu.new_game.province.game_params.crisis.no_crisis,危機の発生なし
main_menu.new_game.province.game_params.crisis.unholy_horde,罪深き軍団
main_menu.new_game.province.game_params.crisis.pandemic,パンデミック
main_menu.new_game.province.game_params.crisis.religious_war,宗教戦争
main_menu.new_game.province.game_params.crisis.long_winter,長い冬
main_menu.new_game.province.game_params.mutators,変更遺伝子
mutator.wave_fanatism,狂信の波
mutator.after_war,戦争後
mutator.decline_of_trade,貿易の落ち込み
mutator.power_of_crowd,数こそが力
mutator.fast_metabolism,人生早送り
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,設営
main_menu.new_game.family_editor.erethic,異端者
main_menu.new_game.province.game_params.adv_neighbours_settings,高度な隣人設定
main_menu.new_game.province.game_params.header,ゲームパラメーター
main_menu.new_game.province.header,開始する王国を選ぶ
main_menu.new_game.province.header.back_to_select_mode,自分および他人の王国を設定
main_menu.new_game.province.header.next,次へ
main_menu.new_game.province.banner,旗
main_menu.new_game.province.difficulty,難易度
main_menu.new_game.province.difficulty.peaceful,平和モード
main_menu.new_game.province.difficulty.normal,ノーマル
main_menu.new_game.hardcore_start,ハードコア
main_menu.new_game.province.difficulty.ironman,アイアンウィル
main_menu.new_game.province.neighbours.caution.careful,慎重
main_menu.new_game.province.neighbours.caution.risky,危険
main_menu.new_game.province.neighbours.caution.balanced,調和
main_menu.new_game.province.neighbours.pacifism.default,ノーマル
main_menu.new_game.province.neighbours.pacifism.peaceful,平和
main_menu.new_game.province.neighbours.city_size,開始時の都市サイズ
main_menu.new_game.province.neighbours.army_power,軍隊の強さ
main_menu.new_game.province.neighbours.enemy,嫌悪
main_menu.new_game.province.neighbours.friend,共感
main_menu.new_game.province.neighbours.neutral,中立
main_menu.new_game.province.kingdom.culture.gwelts,カイデン
main_menu.new_game.province.kingdom.culture.tanaya,タナヤ
main_menu.new_game.province.kingdom.culture.makha,マーカ
main_menu.new_game.province.kingdom.culture.voruns,ヴァーン
main_menu.new_game.province.neighbours.abandoned_town,廃墟の町
main_menu.new_game.province.neighbours.empty,隣人を選ぶ
main_menu.new_game.family.banner.sign_color,紋章色
main_menu.new_game.family.banner.pattern,パターン
main_menu.new_game.family.banner.sign,紋章
main_menu.new_game.family.look.body,体型
main_menu.new_game.family.look.skin_color,肌の色
main_menu.new_game.family.look.hair_color,髪の色
main_menu.new_game.family.look.beard,ひげ
main_menu.new_game.family.look.haircut,ヘアスタイル
main_menu.new_game.family.look.head,頭
main_menu.new_game.family.look.sex,性別
main_menu.new_game.family.look.random,ランダムな見た目
main_menu.new_game.family.character_traits,キャラクターの特徴
main_menu.new_game.family.skills,スキル
main_menu.new_game.family.overall_skills,全体スキル
main_menu.new_game.soft_onboarding,簡易スタート
main_menu.new_game.family.members,家族構成
main_menu.new_game.family.members.husband_wife_child,夫、妻、子供
main_menu.new_game.family.members.two_sis_and_son,二人姉妹と息子１人
main_menu.new_game.family.members.two_bro,二人兄弟
main_menu.new_game.family.members.three_sisters,三人姉妹
main_menu.new_game.family.members.father_three_doughters,父親と娘
main_menu.new_game.family_settings,家族設定
main_menu.ng_world_should_generate,ワールドを生成
main_menu.ng_select_map,マップの選択
main_menu.ng_save_name,セーブファイル名の入力
main_menu.save_load.delete,削除
main_menu.save_load.deleted,削除しました
main_menu.save_load.save_as.desc2,現在のマップファイル名のまま保存するには、空白のままにします
main_menu.save_load.save_as.desc,新しいセーブファイル名
main_menu.save_load.save_as,新規セーブ
main_menu.save_load.rewrite,上書き
main_menu.save_load.save,セーブ
main_menu.save_load.load,ロード
main_menu.save_load.autosave_morning,朝
main_menu.save_load.autosave_evening,夕
main_menu.mods,MOD
main_menu.credits,クレジット
main_menu.discord,Discord
main_menu.leave_feedback,フィードバック
main_menu.feedback.send,送信
main_menu.exit,終了
main_menu.settings,設定
main_menu.load_game,ロード
main_menu.start_tutorial,チュートリアル
main_menu.start_new_game,新規ゲーム
main_menu.continue_last_game,続ける
main_menu.save_and_exit,セーブして終了
main_menu.start,開始
main_menu.back,戻る
menu.problems,問題
adv_tutorial.obj_build_sawmill_place_text,ここに製材所を建設する
adv_tutorial.obj_build_field_place_text,ここにルタバガ畑を配置する
adv_tutorial.obj_build_taverna_place_text,ここに酒場を建設する
adv_tutorial.obj_build_generic_place_text,ここに配置
notification.tutorial.ambush,盗賊が襲撃してくる！
loading_screen,ロード中…しばらくお待ちください。
loading_screen.ingame.misc_loading,データのロード中
loading_screen.ingame.gui_init,GUIの作成中
loading_screen.ingame.save_game_load,セーブゲームのロード中
loading_screen.ingame.new_game_load,新規ゲームの初期化中
loading_screen.ingame.gui_system,GUIシステムの初期化中
loading_screen.ingame.map_cells,マップセルの作成中
loading_screen.ingame.trade_manager,貿易管理者の初期化中
loading_screen.ingame.local_map_controller,ローカルマップコントローラーのロード中
loading_screen.ingame.province_controller,王国データのロード中
loading_screen.ingame.global_map,外部マップのロード中
loading_screen.ingame.battle_injuty_lottery,戦闘時の負傷確率のロード中
loading_screen.ingame.game_system_init,ゲーム内システムの初期化中
loading_screen.ingame_unloading,ゲーム内リソースの解放中
loading_screen.caching_textures,テクスチャーのキャッシュ中
loading_screen.game_vars,ゲーム変数のロード中
loading_screen.audio,オーディオシステムの起動中
loading_screen.animations,アニメーションのロード中
loading_screen.building_assets,建築物アセットのロード中
loading_screen.actor_assets,アクターアセットのロード中
loading_screen.traits,特徴のロード中
loading_screen.minds,マインドのロード中
loading_screen.tantrums,かんしゃくをロード中
loading_screen.activity,アクティビティのロード中
loading_screen.game_data,ゲーム内データのロード中
loading_screen.building_constructions,建築工事のロード中
loading_screen.banners,旗のロード中
loading_screen.gui,GUIのロード中
loading_screen.hints,ヒントのロード中
loading_screen.rich_string,リッチ文字列のロード中
loading_screen.knowledge_localization,知識ローカライズのロード中
loading_screen.saves_and_maps,ワールドおよびセーブリストのロード中
loading_screen.done,ロードが完了しました。
encyclopedia.help,ヘルプ
encyclopedia.category.battle,戦闘
encyclopedia.category.economics,経済
encyclopedia.category.characters,キャラクター
encyclopedia.category.mechanics,メカニクス
encyclopedia.category.hints,ヒント
encyclopedia.category.global_map,マップ
encyclopedia.search,検索中…
action_task.skill_training_caption,{skill_name}を教えています
actor.relations.filter.location,近隣
actor.relations.filter.kings,王
actor.relations.filter.friends,友人
actor.relations.filter.enemies,敵
actor.relations.filter.can_seduce,誘惑可能
action_task.category.king,王
action_task.category.social,交流
action_task.category.bishop,司教
action_task.sub_category.social,コミュニケーション
action_task.sub_category.intrigue,陰謀
actor.action_task.begging,許しを乞う
actor.action_task.nominate_enemy,敵国宣言
actor.action_task_hunt,人喰いオオカミ狩り
actor.action_task_sick_visit,病人を見舞う
actor.action_task.marriage,結婚
actor.action_task.bribe,賄賂
actor.action_task.punish,罰する
actor.action_task.reward,報酬
actor.action_task.rumors,噂を広める
actor.action_task.spent_time,暇をつぶす
actor.action_task.invite,招待する
actor.action_task.teach,教育
actor.action_task.threat,脅す
actor.action_task.trade,貿易
actor.action_task.make_free,解放
actor.action_task.seduction,誘惑
actor.action_task.donate,王に献上する
actor.action_task.kill,殺す
actor.action_task.poison,毒殺
actor.action_task.play_dice,さいころ賭博をする
actor.action_task.depart,追放
actor.action_task.duel_call,決闘を申し込む
actor.action_task.duel_provocation,決闘の挑発
actor.action_task.free_lord_hire,領主を雇う
actor.action_task.send_guest,ゲストを招待する
actor.action_task.king_tribute,供え物
actor.action_task.confession,告白する
actor.action_task.kidnap,捕らえる
actor.action_task.free_captive,解放する
actor.action_task.forced_sex,性行為を強要する
actor.action_task.appoint_an_heir,相続人として宣言する
actor.action_task.go_home,家へ送り届ける
actor.action_task.sex_with_dummy,提案
actor.action_task.new_heir,相続人として任命する
actor.action_task.canonization,祝福
actor.action_task.divorce,離婚
actor.action_task.consolation,慰める
actor.action_task.give_title_to_hired_free_lord,爵位を与える
actor.action_task.give_title_to_soldier,爵位を与える
actor.action_task.take_title,領主の爵位をはく奪する
actor.action_task.join_captive,解放して受け入れる
actor.action_task.new_king,王冠を渡す
actor.appoint_in_town,{town_name}にて
actor.appoint_in_this_town,この町にて
actor.appoint.our_lords,自分の領主
actor.appoint.other_lords,他人の領主
actor.action.training,訓練
actor.action.conversation,交渉
actor.action.army.on_local_map,ローカルマップ上
actor.action.army.on_global_map,グローバルマップ上
actor.action.army,軍隊
actor.action.executor,行動者
actor.action.executor_replace,置き換える
actor.action.teacher,教師
actor.action.chancellery_any,いずれかの官庁
actor.action.punishment,処罰
actor.action.teach,学ぶ
actor.action.person,誰が？
actor.action.different_actions,アクション
actor.action.trade,貿易
actor.action_task.invite_guest,自分の王国に招待する
actor.status.on_global_map,グローバルマップ上
actor.status.on_global_map_lost,行方不明
actor.status.in_army,グローバルマップ上の部隊
actor.status.in_travel,移動中
actor.status.in_object,{object_name}にて
actor.adjective.addicted_to_drink,酒におぼれやすい
actor.adjective.ambitious,野心的
actor.adjective.angry,復讐に燃える
actor.adjective.arrogant,傲慢
actor.adjective.ascetic,禁欲主義者
actor.adjective.bloodthirsty,血に飢えた
actor.adjective.contemptuous,軽蔑的
actor.adjective.contradictory,矛盾
actor.adjective.emotional,感情的
actor.adjective.envious,妬ましい
actor.adjective.friendly,友好的
actor.adjective.frivolous,軽薄
actor.adjective.greedy,欲深い
actor.adjective.indifferent,無関心
actor.adjective.intemperate,衝動的
actor.adjective.jealous,嫉妬深い
actor.adjective.mean,恨みがましい
actor.adjective.melancholy,憂鬱な
actor.adjective.sarcastic,皮肉屋
actor.adjective.subtle,上品
actor.adjective.trusting,騙されやすい
actor.adjective.weakpowered,弱虫
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>農民への理不尽な攻撃は<hint=hint_terror_peasants>相手を怖がらせる</hint></red>
actor.appoint.nominate_enemy.lord,<red>領主への理不尽な攻撃は<hint=hint_terror_lord>相手を怖がらせる</hint></red>
