Key,Polska
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Do gry zostały dodane nowe modele budynków!
tooltip.construction.place,Umieść obiekt
tooltip.construction.rotate,Zmień wariant
tooltip.construction.cancel,Wróć
pause_menu.back_to_main_menu,Menu główne
pause_menu.load,Wczytaj
pause_menu.save,Zapisz
pause_menu.save_and_load,Wczytaj i zapisz
pause_menu.resume_game,Kontynuuj
options_menu.audio.gui_volume,GŁOŚNOŚĆ INTERFEJSU
options_menu.audio.sounds_volume,GŁOŚNOŚĆ DŹWIĘKÓW
options_menu.audio.music_volume,GŁOŚNOŚĆ MUZYKI
options_menu.audio,Dźwięk
options_menu.graphics.screen_format_err2,Wybierz format obrazu dla wyświetlania listy rozdzielczości.
options_menu.graphics.screen_format_err,Wybrano własną rozdzielczość.
options_menu.graphics.screen_resolution,ROZDZIELCZOŚĆ
options_menu.graphics.gui_scale,SKALA INTERFEJSU
options_menu.graphics.screen_format,FORMAT OBRAZU
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Synchr. pionowa
options_menu.graphics.fps_unlimited,Brak limitu klatek
options_menu.graphics.borderless_mode,Tryb bez ramki
options_menu.graphics.fullscreen_mode,Tryb pełnego ekranu
options_menu.graphics.windowed_mode,Tryb w oknie
options_menu.graphics.screen_mode,TRYB WYŚWIETLANIA
options_menu.graphics.global_map_blur,Efekt tilt-shift
options_menu.graphics,Grafika
options_menu.game.secs,s
options_menu.game.hint_lock_delay,CZAS WYŚWIETLANIA PODPOWIEDZI
options_menu.game.encyclopedia_events,Samouczek w grze
options_menu.game.language,JĘZYK
options_menu.game,Gra
options_menu.title,Ustawienia gry
options_menu.cancel,Anuluj
options_menu.ok,OK
options_menu.accept,Akceptuj
statistics_menu.title,Statystyki
statistics_menu.crafting,Wytwarzanie
statistics_menu.consumable,Konsumpcyjne
main_menu.new_game.family.random,Losowe
main_menu.new_game.family.talents,Talenty:
main_menu.new_game.family.unlimited,Bez ograniczeń
main_menu.new_game.family.banner.back_color,Kolor tła
main_menu.new_game.family.banner.pattern_color,Kolor wzoru
main_menu.new_game.province.game_params.beginning_scenario,Scenariusz początkowy
crisis.no_crisis,Bez kryzysu
crisis.horde,Horda Przeklętych
scenario.no_scenario,Bez scenariusza
scenario.nectar_slaves,Dzieci nektaru
scenario.path_of_sword,Ścieżka miecza
scenario.deserters,Dezerterzy
scenario.juice_of_life,Sok życia
scenario.to_the_touch,Na wyczucie
scenario.path_of_hammer,Droga młota
scenario.captured_wife,Jeniec
