Key,SimplifiedChinese
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,全新建筑模型已加入游戏！
tooltip.construction.place,放置对象
tooltip.construction.rotate,切换改款
tooltip.construction.cancel,返回
pause_menu.back_to_main_menu,主菜单
pause_menu.load,加载
pause_menu.save,保存
pause_menu.save_and_load,加载和保存
pause_menu.resume_game,继续游戏
options_menu.audio.gui_volume,界面音量
options_menu.audio.sounds_volume,声音音量
options_menu.audio.music_volume,音乐音量
options_menu.audio,音频
options_menu.graphics.screen_format_err2,选择显示分辨率列表的屏幕布局。
options_menu.graphics.screen_format_err,已选择自定义分辨率。
options_menu.graphics.screen_resolution,分辨率
options_menu.graphics.gui_scale,UI 缩放
options_menu.graphics.screen_format,纵横比
options_menu.graphics.fxaa,快速近似抗锯齿
options_menu.graphics.vsync,垂直同步
options_menu.graphics.fps_unlimited,帧数无限制
options_menu.graphics.borderless_mode,无边框模式
options_menu.graphics.fullscreen_mode,全屏模式
options_menu.graphics.windowed_mode,窗口模式
options_menu.graphics.screen_mode,屏幕模式
options_menu.graphics.global_map_blur,移轴模糊
options_menu.graphics,图形
options_menu.game.secs,秒
options_menu.game.hint_lock_delay,提示停留时间
options_menu.game.encyclopedia_events,游戏内教程
options_menu.game.language,语言
options_menu.game,游戏
options_menu.title,游戏设置
options_menu.cancel,取消
options_menu.ok,确定
options_menu.accept,接受
statistics_menu.title,统计
statistics_menu.crafting,制作
statistics_menu.consumable,消耗品
main_menu.new_game.family.random,随机
main_menu.new_game.family.talents,天赋：
main_menu.new_game.family.unlimited,obsolete
main_menu.new_game.family.banner.back_color,背景颜色
main_menu.new_game.family.banner.pattern_color,图案颜色
main_menu.new_game.province.game_params.beginning_scenario,初始场景
crisis.no_crisis,无危机
crisis.horde,邪恶部族
scenario.no_scenario,无场景
scenario.nectar_slaves,蜜酿之子
scenario.path_of_sword,剑之道
scenario.deserters,逃兵流寇
scenario.juice_of_life,生命琼浆
scenario.to_the_touch,触摸探索
scenario.path_of_hammer,匠人精神
scenario.captured_wife,囚犯
scenario.surrounded_by_enemies,腹背受敌
scenario.peacepul_dolina,和平谷
scenario.everything_is_lost,全盘皆输
scenario.slave_owner,监狱之主
main_menu.new_game.province.game_params.crisis,危机
main_menu.new_game.province.game_params.crisis.no_crisis,无危机
main_menu.new_game.province.game_params.crisis.unholy_horde,邪恶部族
main_menu.new_game.province.game_params.crisis.pandemic,流行病
main_menu.new_game.province.game_params.crisis.religious_war,宗教战争
main_menu.new_game.province.game_params.crisis.long_winter,长冬
main_menu.new_game.province.game_params.mutators,变故
mutator.wave_fanatism,狂热浪潮
mutator.after_war,战后余波
mutator.decline_of_trade,贸易衰退
mutator.power_of_crowd,人多势众
mutator.fast_metabolism,疾速代谢
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,设置
main_menu.new_game.family_editor.erethic,异教徒
main_menu.new_game.province.game_params.adv_neighbours_settings,高级邻邦设置
main_menu.new_game.province.game_params.header,游戏参数
main_menu.new_game.province.header,选择你的起始省邦
main_menu.new_game.province.header.back_to_select_mode,设置你的省邦和其他省邦
main_menu.new_game.province.header.next,下一步
main_menu.new_game.province.banner,旗帜
main_menu.new_game.province.difficulty,难度
