Key,Deutsch
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Das Spiel wurde um neue Gebäudemodelle erweitert!
tooltip.construction.place,Objekt platzieren
tooltip.construction.rotate,Variante wechseln
tooltip.construction.cancel,Zurück
pause_menu.back_to_main_menu,Hauptmenü
pause_menu.load,Laden
pause_menu.save,Speichern
pause_menu.save_and_load,Laden und speichern
pause_menu.resume_game,Spiel fortsetzen
options_menu.audio.gui_volume,GUI-LAUTSTÄRKE
options_menu.audio.sounds_volume,SOUNDLAUTSTÄRKE
options_menu.audio.music_volume,MUSIKLAUTSTÄRKE
options_menu.audio,Audio
options_menu.graphics.screen_format_err2,"Wähle das Bildschirmformat, um die Liste der möglichen Auflösungen anzuzeigen."
options_menu.graphics.screen_format_err,Benutzerdefinierte Auflösung ausgewählt.
options_menu.graphics.screen_resolution,AUFLÖSUNG
options_menu.graphics.gui_scale,UI-SKALIERUNG
options_menu.graphics.screen_format,SEITENVERHÄLTNIS
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,VSync
options_menu.graphics.fps_unlimited,Unbegrenzte FPS
options_menu.graphics.borderless_mode,Fenstermodus (rahmenlos)
options_menu.graphics.fullscreen_mode,Vollbild
options_menu.graphics.windowed_mode,Fenstermodus
options_menu.graphics.screen_mode,ANZEIGEMODUS
options_menu.graphics.global_map_blur,Tilt-Shift-Unschärfe
options_menu.graphics,Grafik
options_menu.game.secs,Sek.
options_menu.game.hint_lock_delay,HINWEIS-ANZEIGEDAUER
options_menu.game.encyclopedia_events,Spiel-Tutorial
options_menu.game.language,SPRACHE
options_menu.game,Spiel
options_menu.title,Spieleinstellungen
options_menu.cancel,Abbrechen
options_menu.ok,OK
options_menu.accept,Annehmen
statistics_menu.title,Statistik
statistics_menu.crafting,Herstellung
statistics_menu.consumable,Verbrauchsgegenstand
main_menu.new_game.family.random,Zufällig
main_menu.new_game.family.talents,Talente:
main_menu.new_game.family.unlimited,Unbegrenzt
main_menu.new_game.family.banner.back_color,Hintergrundfarbe
main_menu.new_game.family.banner.pattern_color,Musterfarbe
main_menu.new_game.province.game_params.beginning_scenario,Szenario starten
crisis.no_crisis,Keine Krise
crisis.horde,Unheilige Horde
scenario.no_scenario,Kein Szenario
scenario.nectar_slaves,Kinder des Nektars
scenario.path_of_sword,Der Pfad des Schwerts
scenario.deserters,Deserteure
scenario.juice_of_life,Saft des Lebens
scenario.to_the_touch,Nach Gefühl
scenario.path_of_hammer,Der Weg des Hammers
scenario.captured_wife,Sklave
scenario.surrounded_by_enemies,Vom Feind umzingelt
scenario.peacepul_dolina,Friedliches Tal
scenario.everything_is_lost,Alles ist verloren
scenario.slave_owner,Kerkermeister
main_menu.new_game.province.game_params.crisis,Krise
main_menu.new_game.province.game_params.crisis.no_crisis,Keine Krise
main_menu.new_game.province.game_params.crisis.unholy_horde,Unheilige Horde
main_menu.new_game.province.game_params.crisis.pandemic,Seuche
main_menu.new_game.province.game_params.crisis.religious_war,Religionskrieg
main_menu.new_game.province.game_params.crisis.long_winter,Langer Winter
main_menu.new_game.province.game_params.mutators,Modifikatoren
mutator.wave_fanatism,Welle des Fanatismus
mutator.after_war,Nach dem Krieg
mutator.decline_of_trade,Schwindender Handel
mutator.power_of_crowd,Zahlenmäßige Überlegenheit
mutator.fast_metabolism,Schneller Stoffwechsel
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Einrichten
main_menu.new_game.family_editor.erethic,Ketzer
main_menu.new_game.province.game_params.adv_neighbours_settings,Erweiterte Nachbar-Einstellungen
main_menu.new_game.province.game_params.header,Spielparameter
main_menu.new_game.province.header,Startprovinz wählen
main_menu.new_game.province.header.back_to_select_mode,Deine und andere Provinzen einrichten
main_menu.new_game.province.header.next,Weiter
main_menu.new_game.province.banner,Banner
main_menu.new_game.province.difficulty,Schwierigkeitsgrad
main_menu.new_game.province.difficulty.peaceful,Friedlicher Modus
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Hardcore
main_menu.new_game.province.difficulty.ironman,Eiserner Wille
main_menu.new_game.province.neighbours.caution.careful,Vorsichtig
main_menu.new_game.province.neighbours.caution.risky,Risikofreudig
main_menu.new_game.province.neighbours.caution.balanced,Ausgewogen
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Friedlich
main_menu.new_game.province.neighbours.city_size,Stadtgröße beim Start
main_menu.new_game.province.neighbours.army_power,Armeekampfkraft
main_menu.new_game.province.neighbours.enemy,Abneigung
main_menu.new_game.province.neighbours.friend,Sympathie
main_menu.new_game.province.neighbours.neutral,Neutral
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Verlassene Stadt
main_menu.new_game.province.neighbours.empty,Nachbar wählen
main_menu.new_game.family.banner.sign_color,Zeichenfarbe
main_menu.new_game.family.banner.pattern,Muster
main_menu.new_game.family.banner.sign,Zeichen
main_menu.new_game.family.look.body,Körper
main_menu.new_game.family.look.skin_color,Hautfarbe
main_menu.new_game.family.look.hair_color,Haarfarbe
main_menu.new_game.family.look.beard,Bart
main_menu.new_game.family.look.haircut,Frisur
main_menu.new_game.family.look.head,Kopf
main_menu.new_game.family.look.sex,Geschlecht
main_menu.new_game.family.look.random,Zufälliges Aussehen
main_menu.new_game.family.character_traits,CHARAKTEREIGENSCHAFTEN
main_menu.new_game.family.skills,FÄHIGKEITEN
main_menu.new_game.family.overall_skills,Gesamtfähigkeiten
main_menu.new_game.soft_onboarding,Einfacher Beginn
