Key,Russian
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Новые модели зданий добавлены в игру!
tooltip.construction.place,Разместите объект
tooltip.construction.rotate,Сменить вариант
tooltip.construction.cancel,Назад
pause_menu.back_to_main_menu,Главное Меню
pause_menu.load,Загрузить
pause_menu.save,Сохранить
pause_menu.save_and_load,Загрузка и Сохранение
pause_menu.resume_game,Продолжить Игру
options_menu.audio.gui_volume,ГРОМКОСТЬ ИНТЕРФЕЙСА
options_menu.audio.sounds_volume,ГРОМКОСТЬ ЗВУКА
options_menu.audio.music_volume,ГРОМКОСТЬ МУЗЫКИ
options_menu.audio,Аудио
options_menu.graphics.screen_format_err2,Выберите формат экрана для отображения списка разрешений.
options_menu.graphics.screen_format_err,Выбрано пользовательское разрешение.
options_menu.graphics.screen_resolution,РАЗРЕШЕНИЕ
options_menu.graphics.gui_scale,РАЗМЕР ИНТЕРФЕЙСА
options_menu.graphics.screen_format,ФОРМАТ ЭКРАНА
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,VSync
options_menu.graphics.fps_unlimited,FPS без ограничений
options_menu.graphics.borderless_mode,Безрамочный режим
options_menu.graphics.fullscreen_mode,Полноэкранный режим
options_menu.graphics.windowed_mode,Оконный режим
options_menu.graphics.screen_mode,РЕЖИМ ЭКРАНА
options_menu.graphics.global_map_blur,Tilt-shift размытие
options_menu.graphics,Графика
options_menu.game.secs,сек.
options_menu.game.hint_lock_delay,ВРЕМЯ ЗАКРЕПЛЕНИЯ ПОДСКАЗКИ
options_menu.game.encyclopedia_events,ОБУЧЕНИЕ
options_menu.game.language,ЯЗЫК
options_menu.game,Игра
options_menu.title,Настройки игры
options_menu.cancel,Отменить
options_menu.ok,ОК
options_menu.accept,Принять
statistics_menu.title,Статистика
statistics_menu.crafting,Крафтинг
statistics_menu.consumable,Потребляемое
main_menu.new_game.family.random,Случайно
main_menu.new_game.family.talents,Таланты:
main_menu.new_game.family.unlimited,Без ограничений
main_menu.new_game.family.banner.back_color,Цвет фона
main_menu.new_game.family.banner.pattern_color,Цвет деталей
main_menu.new_game.province.game_params.beginning_scenario,Начальный сценарий
crisis.no_crisis,Без кризиса
crisis.horde,Нечестивая Орда
scenario.no_scenario,Без сценария
scenario.nectar_slaves,Дети нектара
scenario.path_of_sword,Путь меча
scenario.deserters,Дезертиры
scenario.juice_of_life,Сок жизни
scenario.to_the_touch,Наощупь
scenario.path_of_hammer,Путь молота
scenario.captured_wife,Пленник
scenario.surrounded_by_enemies,В окружении врагов
scenario.peacepul_dolina,Мирная долина
scenario.everything_is_lost,Все пропало
scenario.slave_owner,Хозяева
main_menu.new_game.province.game_params.crisis,Кризис
main_menu.new_game.province.game_params.crisis.no_crisis,Нет кризиса
main_menu.new_game.province.game_params.crisis.unholy_horde,Нечестивая орда
main_menu.new_game.province.game_params.crisis.pandemic,Пандемия
main_menu.new_game.province.game_params.crisis.religious_war,Религиозная война
main_menu.new_game.province.game_params.crisis.long_winter,Долгая зима
main_menu.new_game.province.game_params.mutators,Модификаторы
mutator.wave_fanatism,Волна фанатизма
mutator.after_war,После войны
mutator.decline_of_trade,Упадок торговли
mutator.power_of_crowd,Сила толпы
mutator.fast_metabolism,Быстрый метаболизм
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Настроить
main_menu.new_game.family_editor.erethic,Еретик
main_menu.new_game.province.game_params.adv_neighbours_settings,Расширенная настройка соседей
main_menu.new_game.province.game_params.header,Параметры игры
main_menu.new_game.province.header,Выберите стартовую провинцию
main_menu.new_game.province.header.back_to_select_mode,Настройте свои и другие провинции
main_menu.new_game.province.header.next,Дальше
main_menu.new_game.province.banner,Герб королевства
main_menu.new_game.province.difficulty,Сложность
main_menu.new_game.province.difficulty.peaceful,Мирный режим
main_menu.new_game.province.difficulty.normal,Нормально
main_menu.new_game.hardcore_start,Хардкор
main_menu.new_game.province.difficulty.ironman,Железная воля
main_menu.new_game.province.neighbours.caution.careful,Осторожный
main_menu.new_game.province.neighbours.caution.risky,Рискованный
main_menu.new_game.province.neighbours.caution.balanced,Сбалансированный
main_menu.new_game.province.neighbours.pacifism.default,Обычный
main_menu.new_game.province.neighbours.pacifism.peaceful,Мирный
main_menu.new_game.province.neighbours.city_size,Начальный размер города
main_menu.new_game.province.neighbours.army_power,Сила армии
main_menu.new_game.province.neighbours.enemy,Неприязнь
main_menu.new_game.province.neighbours.friend,Симпатия
main_menu.new_game.province.neighbours.neutral,Нейтрален
main_menu.new_game.province.kingdom.culture.gwelts,Кайден
main_menu.new_game.province.kingdom.culture.tanaya,Танайя
main_menu.new_game.province.kingdom.culture.makha,Макха
main_menu.new_game.province.kingdom.culture.voruns,Варны
main_menu.new_game.province.neighbours.abandoned_town,Заброшенный город
main_menu.new_game.province.neighbours.empty,Выберите соседа
main_menu.new_game.family.banner.sign_color,Цвет знака
main_menu.new_game.family.banner.pattern,Детали
main_menu.new_game.family.banner.sign,Знак
main_menu.new_game.family.look.body,Тело
main_menu.new_game.family.look.skin_color,Цвет кожи
main_menu.new_game.family.look.hair_color,Цвет волос
main_menu.new_game.family.look.beard,Борода
main_menu.new_game.family.look.haircut,Прическа
main_menu.new_game.family.look.head,Голова
main_menu.new_game.family.look.sex,Пол
main_menu.new_game.family.look.random,Случайная внешность
main_menu.new_game.family.character_traits,ЧЕРТЫ ХАРАКТЕРА
main_menu.new_game.family.skills,НАВЫКИ
main_menu.new_game.family.overall_skills,Суммарные навыки семьи
main_menu.new_game.soft_onboarding,Легкий старт
main_menu.new_game.family.members,Состав семьи
main_menu.new_game.family.members.husband_wife_child,"Муж, жена, ребенок"
main_menu.new_game.family.members.two_sis_and_son,Две сестры и сын
main_menu.new_game.family.members.two_bro,Два брата
main_menu.new_game.family.members.three_sisters,Три сестры
main_menu.new_game.family.members.father_three_doughters,Отец и дочери
main_menu.new_game.family_settings,Настройки семьи
main_menu.ng_world_should_generate,Генерировать мир
main_menu.ng_select_map,Выберите карту
main_menu.ng_save_name,Введите имя файла сохранения
main_menu.save_load.delete,Удалить
main_menu.save_load.deleted,УДАЛЕНО
main_menu.save_load.save_as.desc2,"Можно оставить пустым, чтобы сохранить под текущим именем файла карты"
main_menu.save_load.save_as.desc,Имя файла нового сохранения
main_menu.save_load.save_as,Новое сохранение
main_menu.save_load.rewrite,Перезаписать
main_menu.save_load.save,Сохранить
main_menu.save_load.load,Загрузить
main_menu.save_load.autosave_morning,Утро
