Key,Korean
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,게임에 새로운 건물 모델이 추가되었습니다!
tooltip.construction.place,오브젝트 배치
tooltip.construction.rotate,변형 전환
tooltip.construction.cancel,뒤로
pause_menu.back_to_main_menu,메인 메뉴
pause_menu.load,불러오기
pause_menu.save,저장
pause_menu.save_and_load,불러오기 및 저장
pause_menu.resume_game,게임 계속하기
options_menu.audio.gui_volume,GUI 볼륨
options_menu.audio.sounds_volume,효과음 볼륨
options_menu.audio.music_volume,음악 볼륨
options_menu.audio,오디오
options_menu.graphics.screen_format_err2,해상도 목록을 표시할 화면 형식을 선택하세요.
options_menu.graphics.screen_format_err,사용자 지정 해상도를 선택했습니다.
options_menu.graphics.screen_resolution,해상도
options_menu.graphics.gui_scale,UI 크기
options_menu.graphics.screen_format,화면 비율
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,VSync
options_menu.graphics.fps_unlimited,무제한 FPS
options_menu.graphics.borderless_mode,전체화면 창 모드
options_menu.graphics.fullscreen_mode,전체화면 모드
options_menu.graphics.windowed_mode,창 모드
options_menu.graphics.screen_mode,화면 모드
options_menu.graphics.global_map_blur,틸트 시프트 블러
options_menu.graphics,그래픽
options_menu.game.secs,초
options_menu.game.hint_lock_delay,힌트 지속 시간
options_menu.game.encyclopedia_events,게임 내 튜토리얼
options_menu.game.language,언어
options_menu.game,게임
options_menu.title,게임 설정
options_menu.cancel,취소
options_menu.ok,확인
options_menu.accept,수락
statistics_menu.title,통계
statistics_menu.crafting,제작
statistics_menu.consumable,소모품
main_menu.new_game.family.random,무작위
main_menu.new_game.family.talents,재능:
main_menu.new_game.family.unlimited,무제한
main_menu.new_game.family.banner.back_color,배경 색상
main_menu.new_game.family.banner.pattern_color,패턴 색상
main_menu.new_game.province.game_params.beginning_scenario,시나리오 시작
crisis.no_crisis,위기 없음
crisis.horde,불경한 군단
scenario.no_scenario,시나리오 없음
scenario.nectar_slaves,넥타의 아이들
scenario.path_of_sword,검의 길
scenario.deserters,탈영병
scenario.juice_of_life,생명의 주스
scenario.to_the_touch,눈 대신 손으로
scenario.path_of_hammer,망치의 길
scenario.captured_wife,수감자
scenario.surrounded_by_enemies,적의 포위
scenario.peacepul_dolina,평화로운 계곡
scenario.everything_is_lost,완전한 상실
scenario.slave_owner,감옥 주인
main_menu.new_game.province.game_params.crisis,위기
main_menu.new_game.province.game_params.crisis.no_crisis,위기 없음
main_menu.new_game.province.game_params.crisis.unholy_horde,불경한 군단
main_menu.new_game.province.game_params.crisis.pandemic,대역병
main_menu.new_game.province.game_params.crisis.religious_war,종교 전쟁
main_menu.new_game.province.game_params.crisis.long_winter,긴 겨울
main_menu.new_game.province.game_params.mutators,변수 보정
mutator.wave_fanatism,광신주의 물결
mutator.after_war,전쟁 후
mutator.decline_of_trade,무역 감소
mutator.power_of_crowd,머릿수의 힘
mutator.fast_metabolism,빠른 신진대사
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,설정
main_menu.new_game.family_editor.erethic,이단
main_menu.new_game.province.game_params.adv_neighbours_settings,고급 이웃 설정
main_menu.new_game.province.game_params.header,게임 매개변수
